audit_created_at_utc,action,entity_type,entity_id,admin_user_id,request_id,ip_address,before_description,after_description,before_upgrade_options,after_upgrade_options,audit_metadata,before_full,after_full
2026-01-31 01:39:21.401119,catalog.product.create,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9wy,104.23.221.152,null,null,null,null,null,null,"{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""inactive"",""category"":null,""logo_key"":null,""metadata"":null,""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:39:21.396Z"",""description"":null,""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"
2026-01-31 01:40:17.213987,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9x9,104.23.223.33,null,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖",null,"{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""inactive"",""category"":null,""logo_key"":null,""metadata"":null,""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:39:21.396Z"",""description"":null,""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""inactive"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:40:17.208Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"
2026-01-31 01:43:55.258052,catalog.variant.create,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9xj,104.23.223.33,null,"Higher access to Google AI for limitless productivity, plus ample storage.",null,null,null,null,"{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro"",""metadata"":{""features"":[""2 TB storage across Gmail"",""Drive"",""and Photos"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search"",""agentic tools"",""and Search Labs experiments"",""Gemini integrated into Gmail"",""Docs"",""and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T01:43:55.227Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro""}"
2026-01-31 01:53:27.223853,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9yk,162.158.182.129,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""status""]}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""inactive"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:40:17.208Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:27.217Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"
2026-01-31 01:53:40.292667,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9yq,104.23.221.152,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:27.217Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleone-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:40.288Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"
2026-01-31 01:53:48.346403,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-9z0,104.23.221.153,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleone-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:40.288Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:48.340Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"
2026-01-31 02:04:54.948763,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-a0a,104.23.223.33,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro"",""metadata"":{""features"":[""2 TB storage across Gmail"",""Drive"",""and Photos"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search"",""agentic tools"",""and Search Labs experiments"",""Gemini integrated into Gmail"",""Docs"",""and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T01:43:55.227Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro""}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail"",""Drive"",""and Photos"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search"",""agentic tools"",""and Search Labs experiments"",""Gemini integrated into Gmail"",""Docs"",""and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:04:54.944Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}"
2026-01-31 02:14:59.185025,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-a1t,104.23.221.153,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail"",""Drive"",""and Photos"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search"",""agentic tools"",""and Search Labs experiments"",""Gemini integrated into Gmail"",""Docs"",""and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:04:54.944Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail Drive and Photos"",""1"",""000 monthly AI credits"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search agentic tools and Search Labs experiments"",""Gemini integrated into Gmail Docs and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:14:59.179Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}"
2026-01-31 02:15:06.210864,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-a1y,104.23.221.153,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail Drive and Photos"",""1"",""000 monthly AI credits"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search agentic tools and Search Labs experiments"",""Gemini integrated into Gmail Docs and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:14:59.179Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail Drive and Photos"",""1000 monthly AI credits"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search agentic tools and Search Labs experiments"",""Gemini integrated into Gmail Docs and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:15:06.206Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}"
2026-01-31 02:19:07.689575,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-a2g,104.23.221.153,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""features"":[""2 TB storage across Gmail Drive and Photos"",""1000 monthly AI credits"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search agentic tools and Search Labs experiments"",""Gemini integrated into Gmail Docs and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:15:06.206Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}","{""id"":""2120cfb0-3512-434f-aae8-50e28f792861"",""name"":""AI Pro | Veo 3"",""metadata"":{""badges"":[""Most Popular""],""features"":[""2 TB storage across Gmail Drive and Photos"",""1000 monthly AI credits"",""Gemini app with higher access to Gemini 3 Pro and Deep Research"",""Gemini in Google Search with Deep Search agentic tools and Search Labs experiments"",""Gemini integrated into Gmail Docs and more for drafting and productivity"",""Veo 3.1 Fast in the Gemini app with higher video generation limits"",""Nano Banana Pro image generation with higher limits in Gemini app and Search"",""NotebookLM with higher limits for studying and research"",""Jules async coding agent with higher limits"",""Gemini CLI and Code Assist with higher limits for uninterrupted coding""]},""is_active"":true,""created_at"":""2026-01-31T01:43:55.227Z"",""product_id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""sort_order"":0,""updated_at"":""2026-01-31T02:19:07.683Z"",""description"":""Higher access to Google AI for limitless productivity, plus ample storage."",""service_plan"":null,""variant_code"":""google-aipro-veo""}"
2026-02-17 00:25:29.733466,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,req-bz,162.158.182.129,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖",Unlock a smarter way to get things done with Google AI ⚡🤖,"{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-01-31T01:53:48.340Z"",""description"":""Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.\nStart using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}","{""id"":""cf438f29-7937-42d9-9bda-7db516b68f2b"",""name"":""Google"",""slug"":""google"",""status"":""active"",""category"":""ai"",""logo_key"":""googleai-logo"",""metadata"":{""upgrade_options"":{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false},""terms_conditions"":[""Full access to Google AI features"",""Subscription is tied to a private account that only you can access"",""Service can be used worldwide without geographic restrictions"",""All usage is governed by our standard Terms & Conditions and Refund Policy""]},""created_at"":""2026-01-31T01:39:21.396Z"",""updated_at"":""2026-02-17T00:25:29.721Z"",""description"":""Unlock a smarter way to get things done with Google AI ⚡🤖"",""service_type"":""google"",""default_currency"":null,""max_subscriptions"":null}"