audit_created_at_utc,order_created_at_utc,action,entity_type,entity_id,before_description,after_description,before_upgrade_options,after_upgrade_options,audit_metadata,request_id,ip_address
2026-01-31 01:39:21.401119,2026-01-31 11:40:11.463358,catalog.product.create,product,cf438f29-7937-42d9-9bda-7db516b68f2b,null,null,null,null,null,req-9wy,104.23.221.152
2026-01-31 01:40:17.213987,2026-01-31 11:40:11.463358,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,null,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖",null,"{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}",req-9x9,104.23.223.33
2026-01-31 01:43:55.258052,2026-01-31 11:40:11.463358,catalog.variant.create,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,null,"Higher access to Google AI for limitless productivity, plus ample storage.",null,null,null,req-9xj,104.23.223.33
2026-01-31 01:53:27.223853,2026-01-31 11:40:11.463358,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""status""]}",req-9yk,162.158.182.129
2026-01-31 01:53:40.292667,2026-01-31 11:40:11.463358,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}",req-9yq,104.23.221.152
2026-01-31 01:53:48.346403,2026-01-31 11:40:11.463358,catalog.product.update,product,cf438f29-7937-42d9-9bda-7db516b68f2b,"Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","Unlock a smarter way to get things done with Google AI — powerful, everyday tools built to help you search, write, plan, and create faster with confidence. Get quick, helpful answers, turn rough ideas into polished text, summarize long content in seconds, and brainstorm with an assistant that understands what you mean and adapts to your workflow.
Start using Google AI today and turn curiosity into clarity, and ideas into action. ⚡🤖","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""allow_new_account"":true,""allow_own_account"":false,""manual_monthly_upgrade"":false}","{""updatedFields"":[""name"",""slug"",""description"",""service_type"",""logo_key"",""category"",""status"",""metadata""]}",req-9z0,104.23.221.153
2026-01-31 02:04:54.948763,2026-01-31 11:40:11.463358,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}",req-a0a,104.23.223.33
2026-01-31 02:14:59.185025,2026-01-31 11:40:11.463358,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}",req-a1t,104.23.221.153
2026-01-31 02:15:06.210864,2026-01-31 11:40:11.463358,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}",req-a1y,104.23.221.153
2026-01-31 02:19:07.689575,2026-01-31 11:40:11.463358,catalog.variant.update,product_variant,2120cfb0-3512-434f-aae8-50e28f792861,"Higher access to Google AI for limitless productivity, plus ample storage.","Higher access to Google AI for limitless productivity, plus ample storage.",null,null,"{""updatedFields"":[""name"",""description"",""is_active"",""sort_order"",""metadata"",""variant_code""]}",req-a2g,104.23.221.153